IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL
HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.

MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite the original publishing author, as well as:
In any articles making use of this data, please refer to:
Stark C, Breitkreutz BJ, Reguly T, Boucher L, Breitkreutz A, Tyers M. BioGRID: A General Repository for Interaction Datasets.
Nucleic Acids Res. Jan1;34:D535-9.

This data is distributed for research purposes only, and is provided WITHOUT ANY WARRANTY.

----------------------------------------------------------------------------------------------------

Brief Description of the Columns:

A.) INTERACTOR_A			Unique ID for Interacting Partner A
B.) INTERACTOR_B			Unique ID for Interacting Partner B
C.) OFFICIAL_SYMBOL_FOR_A
D.) OFFICIAL_SYMBOL_FOR_B
E.) ALIASES_FOR_A			List of common names for geneA, separated by '|'
F.) ALIASES_FOR_B			List of common names for geneB, separated by '|'
G.) EXPERIMENTAL_SYSTEM			System in which the interaction was shown
H.) SOURCE				Author/s of the interaction
I.) PUBMED_ID				PubMed_ID of the paper, separated by ';'
J.) ORGANISM_A_ID				NCBI ID of Gene A Organism
K.) ORGANISM_B_ID				NCBI ID of Gene B Organism

----------------------------------------------------------------------------------------------------
File Version: 3.2.103
----------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
ETG4087	ETG75141	SMAD2	Rasd2	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	4930526B11Rik|TEM-2|Rhes|TEM2|AU045414	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
ETG4087	RP23-185A18.5	SMAD2	Rab34	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	AI326479|Rah|Rah1	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
ETG4087	ETG69159	SMAD2	Rhebl1	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	1810036J22Rik	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
ETG4087	ETG72433	SMAD2	Rab38	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	2310011F14Rik|AU043391|cht	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
ETG4087	ETG69288	SMAD2	Rhobtb1	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	AI573858|AV350930|AI173445|1700008H16Rik|3110048G13Rik	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
ETG4087	ETG54126	SMAD2	Arhgef7	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	p85Cool1|betaPix-c|Cool|betaPix-b|betaPix|PIX|p85SPR|cool-1|Pak3bp|mKIAA0142	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
ETG4087	RP23-92B18.5	SMAD2	Rps27a	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	0610006J14Rik|Ubb|Uba52|Ubc	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
ETG4087	RP23-261L3.4	SMAD2	Fbxo3	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	1700026K02Rik|1200002G09Rik|Fba|AI046358	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
ETG4087	RP23-319B15.3	SMAD2	Sqstm1	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	p62|STAP|Osi|OSF-6|A170	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
ETG4087	ETG52432	SMAD2	Ppp2r2d	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	1300017E19Rik|MDS026|D7Ertd753e	Affinity Capture-Luminescence	Barrios-Rodiles M (2005)	15761153	9606	10090
